0,3204 McComb Avenue,3204.0,McComb Avenue,No,,,,Rocky Mountain Glow Maple,,0.0,Crown is fully exposed to light.,,6/11/2024,,2,0-3in,,,,No,Acer,,-104.83682399989,41.145302328584002,No,,No,No,<15ft,,No,,Sprinkler,Park or Other Vacant Land,,6/11/2024,Acer grandidentatum 'Schmidt',,,,,,,1.0,,,,,Buffalo Soldier,,,,88841.0,Plant Tree,No,,,Park,ellisonm,,Planting Site - Large,,,,0.0,,No,,,No
1,1424 Gettysburg Drive,1424.0,Gettysburg Drive,No,,,,,,0.0,,,6/11/2024,,0,,,,,No,,,-104.74536019449,41.137415292383999,No,,No,No,,,No,,,,,6/11/2024,,,,,,,,1.0,,,,,,,,,88840.0,,No,,,,ellisonm,,Planting Site - Large,,,,0.0,,No,,,No
2,2900 Sunflower Road,2900.0,Sunflower Road,No,,,,Redmond Linden,,0.0,Crown is fully exposed to light.,,6/7/2024,,2,0-3in,,,,No,Tilia,,-104.7760376832,41.167772791634000,No,,No,No,<15ft,,No,,Sprinkler,Park or Other Vacant Land,,6/10/2024,Tilia americana x euchlora Redmond,,,,,,,1.0,,,,,BEAST Recreation Center,,,,88838.0,,No,,,Tree Lawn,ellisonm,,Planting Site - Large,,,,0.0,,No,,,No
3,2900 Sunflower Road,2900.0,Sunflower Road,No,,,AEGL,Ohio Buckeye,,0.0,Crown is fully exposed to light.,,6/7/2024,,2,0-3in,,,,No,Aesculus,,-104.77608730406,41.167704141263997,No,,No,Yes,<15ft,,No,,Sprinkler,Park or Other Vacant Land,,6/10/2024,Aesculus glabra Willd.,,,,,,,1.0,,,,,BEAST Recreation Center,,,,88837.0,,No,,,Tree Lawn,ellisonm,,Planting Site - Large,,,,0.0,,No,,,No
4,2900 Sunflower Road,2900.0,Sunflower Road,No,,,QUMA1,Bur Oak,,0.0,Crown is fully exposed to light.,,6/7/2024,,2,0-3in,,Fagaceae,,No,Quercus,,-104.77618118138,41.167565830740998,No,,No,Yes,<15ft,,No,,Sprinkler,Park or Other Vacant Land,,6/10/2024,Quercus macrocarpa,,,,,,,1.0,,,,,BEAST Recreation Center,,,,88836.0,,No,,,Tree Lawn,ellisonm,,Planting Site - Large,,,,0.0,,No,,,No
5,5328 Greybull Avenue,5328.0,Greybull Avenue,No,,,CEOC,Hackberry,,0.0,Crown is fully exposed to light.,,6/7/2024,,2,0-3in,,Cannabaceae,,No,Celtis,,-104.77623616666,41.167490113177998,No,,No,Yes,<15ft,,No,,Sprinkler,Park or Other Vacant Land,,6/10/2024,Celtis occidentalis,,,,,,,1.0,,,,,BEAST Recreation Center,,,,88835.0,,No,,,Tree Lawn,ellisonm,,Planting Site - Large,,,,0.0,,No,,,No
6,215 West 8th Avenue,215.0,West 8th Avenue,No,,,PIPO,Ponderosa Pine,,0.0,,,6/4/2024,,0,,,Pinaceae,,No,Pinus,,-104.82478450981,41.153362564925999,No,,No,No,,,No,,,,,6/4/2024,Pinus ponderosa,,,,,,,1.0,,,,,,,,,88834.0,Plant Tree,No,,,,obrienm,,Planting Site - Large,,,,0.0,,No,,,No
"LA02 EAB trap installed on 5/30/2022""",1,,Present / No Colflict,,,United Nations Park,,,,79505.0,,No,,Pest Problem - Insects,Park,Ellisp,,Alive - Park Tree,,,,0.0,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1328 Talbot Court,1328.0,Talbot Court,No,,,,Rocky Mountain Glow Maple,,0.0,Crown is fully exposed to light.,,6/4/2024,,2,0-3in,,,,No,Acer,,-104.8374142339,41.141781594805998,No,,No,No,<15ft,,No,,Sprinkler,Park or Other Vacant Land,,6/11/2024,Acer grandidentatum 'Schmidt',,,,,,,1.0,,,,,Youth Alternatives,,,,88833.0,Plant Tree,No,,,Park,ellisonm,,Planting Site - Large,,,,0.0,,No,,,No
8,1100 Snyder Avenue,1100.0,Snyder Avenue,No,,,POAC5,Lanceleaf Cottonwood,,0.0,Crown is fully exposed to light.,,6/4/2024,,1,0-3in,,Salicaceae,,No,Populus,,-104.82126124887,41.126145535356002,No,,No,Yes,<15ft,,No,,,Park or Other Vacant Land,,6/5/2024,Populus x acuminata,,,,,,,1.0,,,,,Crow Creek Greenway,,,,88832.0,Plant Tree,No,,,Greenway,ellisonm,,Planting Site - Large,,,,0.0,,No,,,No
