FID,Address,AddressNum,AddressStr,Archived,ChangeXTre,ClearanceC,Code,CommonName,Condition,CriticalRo,CrownLight,Date,DateAdded,DatePlante,DBH,DBHRange,Disease,Family,Frostcrack,FurtherIns,Genus,Girdlingro,GPSX,GPSY,GravelBedG,Haildamage,HardscapeD,HasEcobene,HeightRang,InsectDama,InsectTrap,Inspection,Irrigation,LandUse,LastInspec,LastModifi,LatinName,Missing,NeedsMulch,NeedsPrune,Needswater,NextInspec,Notes,NumberofSt,Observatio,OverheadUt,OwnerName,OwnerPhone,ParkName,PercentDie,PermanentI,Photos,PrimaryID,PrimaryMai,RICTree,Rodentdama,SecondaryM,SiteLocati,Staff,Staked,Status,Suckers,Toomuchwat,TopKilled,TreeProtec,TreeRooted,TreeWalk,TrimmerMow,Trunkwrap,WithinDDAB
0,3204 McComb Avenue,3204,McComb Avenue,No, , , ,Rocky Mountain Glow Maple, ,0.000000000000000,Crown is fully exposed to light., ,6/11/2024, ,2,0-3in, , , ,No,Acer, ,-104.836823999890001,41.145302328584002,No, ,No,No,<15ft, ,No, ,Sprinkler,Park or Other Vacant Land, ,6/11/2024,Acer grandidentatum 'Schmidt', , , , , , ,1, , , , ,Buffalo Soldier, , , ,88841,Plant Tree,No, , ,Park,ellisonm, ,Planting Site - Large, , , ,0.000000000000000, ,No, , ,No
1,1424 Gettysburg Drive,1424,Gettysburg Drive,No, , , , , ,0.000000000000000, , ,6/11/2024, ,0,N/A, , , ,No, , ,-104.745360194490004,41.137415292383999,No, ,No,No,N/A, ,No, , , , ,6/11/2024, , , , , , , ,1, , , , , , , , ,88840, ,No, , , ,ellisonm, ,Planting Site - Large, , , ,0.000000000000000, ,No, , ,No
2,2900 Sunflower Road,2900,Sunflower Road,No, , , ,Redmond Linden, ,0.000000000000000,Crown is fully exposed to light., ,6/7/2024, ,2,0-3in, , , ,No,Tilia, ,-104.776037683200002,41.167772791634000,No, ,No,No,<15ft, ,No, ,Sprinkler,Park or Other Vacant Land, ,6/10/2024,Tilia americana x euchlora Redmond, , , , , , ,1, , , , ,BEAST Recreation Center, , , ,88838, ,No, , ,Tree Lawn,ellisonm, ,Planting Site - Large, , , ,0.000000000000000, ,No, , ,No
3,2900 Sunflower Road,2900,Sunflower Road,No, , ,AEGL,Ohio Buckeye, ,0.000000000000000,Crown is fully exposed to light., ,6/7/2024, ,2,0-3in, , , ,No,Aesculus, ,-104.776087304059999,41.167704141263997,No, ,No,Yes,<15ft, ,No, ,Sprinkler,Park or Other Vacant Land, ,6/10/2024,Aesculus glabra Willd., , , , , , ,1, , , , ,BEAST Recreation Center, , , ,88837, ,No, , ,Tree Lawn,ellisonm, ,Planting Site - Large, , , ,0.000000000000000, ,No, , ,No
4,2900 Sunflower Road,2900,Sunflower Road,No, , ,QUMA1,Bur Oak, ,0.000000000000000,Crown is fully exposed to light., ,6/7/2024, ,2,0-3in, ,Fagaceae, ,No,Quercus, ,-104.776181181379997,41.167565830740998,No, ,No,Yes,<15ft, ,No, ,Sprinkler,Park or Other Vacant Land, ,6/10/2024,Quercus macrocarpa, , , , , , ,1, , , , ,BEAST Recreation Center, , , ,88836, ,No, , ,Tree Lawn,ellisonm, ,Planting Site - Large, , , ,0.000000000000000, ,No, , ,No
5,5328 Greybull Avenue,5328,Greybull Avenue,No, , ,CEOC,Hackberry, ,0.000000000000000,Crown is fully exposed to light., ,6/7/2024, ,2,0-3in, ,Cannabaceae, ,No,Celtis, ,-104.776236166659999,41.167490113177998,No, ,No,Yes,<15ft, ,No, ,Sprinkler,Park or Other Vacant Land, ,6/10/2024,Celtis occidentalis, , , , , , ,1, , , , ,BEAST Recreation Center, , , ,88835, ,No, , ,Tree Lawn,ellisonm, ,Planting Site - Large, , , ,0.000000000000000, ,No, , ,No
6,215 West 8th Avenue,215,West 8th Avenue,No, , ,PIPO,Ponderosa Pine, ,0.000000000000000, , ,6/4/2024, ,0,N/A, ,Pinaceae, ,No,Pinus, ,-104.824784509810002,41.153362564925999,No, ,No,No,N/A, ,No, , , , ,6/4/2024,Pinus ponderosa, , , , , , ,1, , , , , , , , ,88834,Plant Tree,No, , , ,obrienm, ,Planting Site - Large, , , ,0.000000000000000, ,No, , ,No


LA02 EAB trap installed on 5/30/2022",1,,Present / No Colflict,,,United Nations Park,,,,79505,,No,,Pest Problem - Insects,Park,Ellisp,,Alive - Park Tree,,,,0.0,,No,,,No
